"Адыгея", "Адыгейск";
"Адыгея", "Майкоп";
"Алтайский край", "Акташ";
"Алтайский край", "Акутиха";
"Алтайский край", "Алейск";
"Алтайский край", "Алтайский";
"Алтайский край", "Баево";
"Алтайский край", "Барнаул";
"Алтайский край", "Белово";
"Алтайский край", "Белокуриха";
"Алтайский край", "Белоярск";
"Алтайский край", "Бийск";
"Алтайский край", "Благовещенск";
"Алтайский край", "Боровлянка";
"Алтайский край", "Бурла";
"Алтайский край", "Бурсоль";
"Алтайский край", "Волчиха";
"Алтайский край", "Горно-Алтайск";
"Алтайский край", "Горняк";
"Алтайский край", "Ельцовка";
"Алтайский край", "Залесово";
"Алтайский край", "Заринск";
"Алтайский край", "Заток";
"Алтайский край", "Змеиногорск";
"Алтайский край", "Камень-на-Оби";
"Алтайский край", "Ключи";
"Алтайский край", "Кош-Агач";
"Алтайский край", "Красногорское";
"Алтайский край", "Краснощеково";
"Алтайский край", "Кулунда";
"Алтайский край", "Кытманово";
"Алтайский край", "Мамонтово";
"Алтайский край", "Новичиха";
"Алтайский край", "Новоалтайск";
"Алтайский край", "Онгудай";
"Алтайский край", "Павловск";
"Алтайский край", "Петропавловское";
"Алтайский край", "Поспелиха";
"Алтайский край", "Ребриха";
"Алтайский край", "Родино";
"Алтайский край", "Рубцовск";
"Алтайский край", "Славгород";
"Алтайский край", "Смоленское";
"Алтайский край", "Солонешное";
"Алтайский край", "Солтон";
"Алтайский край", "Староаллейское";
"Алтайский край", "Табуны";
"Алтайский край", "Тальменка";
"Алтайский край", "Топчиха";
"Алтайский край", "Троицкое";
"Алтайский край", "Турочак";
"Алтайский край", "Тюменцево";
"Алтайский край", "Угловское";
"Алтайский край", "Усть-Калманка";
"Алтайский край", "Усть-Кан";
"Алтайский край", "Усть-Кокса";
"Алтайский край", "Усть-Улаган";
"Алтайский край", "Усть-Чарышская Пристань";
"Алтайский край", "Хабары";
"Алтайский край", "Целинное";
"Алтайский край", "Чарышское";
"Алтайский край", "Шебалино";
"Алтайский край", "Шелаболиха";
"Алтайский край", "Шипуново";
"Амурская обл.", "Айгунь";
"Амурская обл.", "Архара";
"Амурская обл.", "Белогорск";
"Амурская обл.", "Благовещенск (Амурская обл.)";
"Амурская обл.", "Бурея";
"Амурская обл.", "Возжаевка";
"Амурская обл.", "Екатеринославка";
"Амурская обл.", "Ерофей Павлович";
"Амурская обл.", "Завитинск";
"Амурская обл.", "Зея";
"Амурская обл.", "Златоустовск";
"Амурская обл.", "Ивановка";
